PCR ID,Catchment [Km2],Latitude,Longitude,Reservoir Size,Surface [Km2]
109,1530.44808,8.84900,9.38890,1.16000,0.17406
110,1493.24019,8.81370,38.70801,650.00000,26.46699
111,1372.61814,9.55921,37.36562,650.00000,179.62000
112,1236.90138,9.59417,37.23300,448.00000,19.18719
113,1156.30817,0.62307,10.40814,220.00000,13.72000
114,864.34787,-26.40000,31.16667,23.60000,1.76181
115,855.39380,9.92495,-13.10180,14.00000,1.16190
116,799.05182,1.54545,31.11142,0.15000,0.03133
117,768.06174,36.47107,5.26504,160.00000,2.13000
118,603.88104,36.74728,8.74145,73.00000,1.77000
119,599.58814,36.67186,8.79045,145.00000,7.08637
120,445.14343,-12.82755,14.14039,0.70000,0.09828
121,400.04864,-16.53330,28.71670,185000.00000,5276.89000
122,299.67296,36.76137,9.00252,81.00000,3.96000
123,288.62398,-15.71331,32.68445,63000.00000,2048.68000
124,282.17517,-8.40000,36.35000,1.00000,0.12252
125,280.57535,-28.76110,28.45823,6.00000,0.14000
126,280.36736,10.00662,-12.99537,223.00000,8.98235
127,271.58409,36.58247,5.57705,200.00000,2.56000
128,0.21743,8.35972,-13.19938,20.50000,0.78000
129,0.00000,3.13005,32.51465,0.00000,0.00000
130,0.00000,32.20667,-6.53083,0.00000,0.00000
131,0.00000,-10.88430,20.23885,0.00000,0.00000
132,0.00000,32.62278,-6.18637,0.00000,0.00000
133,0.00000,-2.40167,26.11389,0.00000,0.00000
134,0.00000,24.03400,32.86560,0.00000,0.00000
135,0.00000,24.03400,32.86560,0.00000,0.00000
136,0.00000,5.58125,-3.15916,0.00000,0.00000
137,0.00000,11.81975,36.92042,0.00000,0.00000
138,0.00000,-1.42417,26.49167,0.00000,0.00000
139,0.00000,1.78333,9.85000,0.00000,0.00000
140,0.00000,4.87130,18.04990,0.00000,0.00000
141,0.00000,4.88100,18.03880,0.00000,0.00000
142,0.00000,-2.23306,11.46333,0.00000,0.00000
143,0.00000,,,0.00000,0.00000
144,0.00000,1.56700,30.18300,0.00000,0.00000
145,0.00000,0.30010,30.10051,0.00000,0.00000
146,0.00000,-9.75338,14.48084,0.00000,0.00000
147,0.00000,8.42606,-13.19608,0.00000,0.00000
148,0.00000,-10.10944,30.91660,0.00000,0.00000
149,0.00000,-32.02730,28.59890,0.00000,0.00000
150,0.00000,36.54167,5.34090,0.00000,0.00000
151,0.00000,1.57580,10.46870,0.00000,0.00000
152,0.00000,9.95282,-12.99065,0.00000,0.00000
153,0.00000,-5.15583,38.45030,0.00000,0.00000
154,0.00000,-26.58950,31.32400,0.00000,0.00000
155,0.00000,25.31536,32.55575,0.00000,0.00000
156,0.00000,4.97290,-6.65190,0.00000,0.00000
157,0.00000,14.35909,-11.34969,0.00000,0.00000
158,0.00000,6.29910,-10.31006,0.00000,0.00000
159,0.00000,4.09628,15.15277,0.00000,0.00000
160,0.00000,7.92417,37.38778,0.00000,0.00000
161,0.00000,-0.90910,34.34926,0.00000,0.00000
162,0.00000,8.13883,-11.34725,0.00000,0.00000
163,0.00000,,,0.00000,0.00000
164,0.00000,-5.52697,13.62090,0.00000,0.00000
165,0.00000,9.36784,8.80940,0.00000,0.00000
166,0.00000,9.36138,8.76037,0.00000,0.00000
167,0.00000,10.46235,-13.28067,0.00000,0.00000
168,0.00000,-0.88138,29.67083,0.00000,0.00000
169,0.00000,-15.00750,35.24232,0.00000,0.00000
170,0.00000,-15.00750,35.24232,0.00000,0.00000
171,0.00000,-16.52209,28.76167,0.00000,0.00000
172,0.00000,-16.52099,28.76140,0.00000,0.00000
173,0.00000,,,0.00000,0.00000
174,0.00000,-4.29366,27.13287,0.00000,0.00000
175,0.00000,0.45500,10.28100,0.00000,0.00000
176,0.00000,11.06149,-12.45755,0.00000,0.00000
177,0.00000,0.45029,33.18558,0.00000,0.00000
178,0.00000,7.01171,0.64433,0.00000,0.00000
179,0.00000,6.12010,0.12550,0.00000,0.00000
180,0.00000,-28.40532,28.36585,0.00000,0.00000
181,0.00000,9.40078,8.74594,0.00000,0.00000
182,0.00000,9.82901,8.66801,0.00000,0.00000
183,0.00000,-0.20933,30.11695,0.00000,0.00000
184,0.00000,-5.03356,28.94910,0.00000,0.00000
185,0.00000,,,0.00000,0.00000
186,0.00000,,,0.00000,0.00000
187,0.00000,1.05118,15.69707,0.00000,0.00000
188,0.00000,8.57960,-9.43043,0.00000,0.00000
189,0.00000,-7.37424,20.82209,0.00000,0.00000
190,0.00000,0.08370,29.76194,0.00000,0.00000
191,0.00000,,,0.00000,0.00000
192,0.00000,-6.50139,20.88944,0.00000,0.00000
193,0.00000,-14.23330,29.11390,0.00000,0.00000
194,0.00000,-8.93330,31.15000,0.00000,0.00000
195,0.00000,-13.35000,31.26670,0.00000,0.00000
196,0.00000,-13.35000,31.26670,0.00000,0.00000
197,0.00000,-2.70583,26.29389,0.00000,0.00000
198,0.00000,-26.61510,31.35309,0.00000,0.00000
199,0.00000,0.47859,30.27307,0.00000,0.00000
200,0.00000,8.63632,-11.64443,0.00000,0.00000
201,0.00000,-4.06744,27.99351,0.00000,0.00000
202,0.00000,36.58214,5.58448,0.00000,0.00000
203,0.00000,-3.83040,30.32911,0.00000,0.00000
204,0.00000,-1.90194,11.90750,0.00000,0.00000
205,0.00000,4.30060,21.18330,0.00000,0.00000
206,0.00000,4.41670,18.79440,0.00000,0.00000
207,0.00000,-7.30000,27.45000,0.00000,0.00000
208,0.00000,6.51047,-10.65107,0.00000,0.00000
209,0.00000,0.06650,30.32135,0.00000,0.00000
210,0.00000,-5.84306,13.49972,0.00000,0.00000
211,0.00000,0.31852,30.10040,0.00000,0.00000
212,0.00000,0.26100,30.14932,0.00000,0.00000
213,0.00000,,,0.00000,0.00000
214,0.00000,-1.58169,29.65494,0.00000,0.00000
215,0.00000,,,0.00000,0.00000
216,0.00000,-17.84190,25.85430,0.00000,0.00000
217,0.00000,-1.31846,30.07892,0.00000,0.00000
218,0.00000,-5.24850,29.84766,0.00000,0.00000
219,0.00000,26.04600,32.24863,0.00000,0.00000
220,0.00000,0.61564,29.97944,0.00000,0.00000
221,0.00000,-28.75524,20.62052,0.00000,0.00000
222,0.00000,29.99694,31.24631,0.00000,0.00000
223,0.00000,9.83136,8.67053,0.00000,0.00000
224,0.00000,10.67819,-5.10223,0.00000,0.00000
225,0.00000,-15.05740,35.22505,0.00000,0.00000
226,0.00000,-15.05740,35.22505,0.00000,0.00000
227,0.00000,1.12076,30.66857,0.00000,0.00000
228,0.00000,-1.47670,29.75070,0.00000,0.00000
229,0.00000,2.42833,30.97333,0.00000,0.00000
230,0.00000,0.21238,30.00547,0.00000,0.00000
231,0.00000,35.24558,-5.29090,0.00000,0.00000
232,0.00000,9.77330,8.69606,0.00000,0.00000
233,0.00000,-7.66670,28.16670,0.00000,0.00000
234,0.00000,8.75837,-12.78683,0.00000,0.00000
235,0.00000,-1.77324,13.55151,0.00000,0.00000
236,0.00000,3.38694,8.74917,0.00000,0.00000
237,0.00000,-2.46829,29.55334,0.00000,0.00000
238,0.00000,-2.89612,29.47349,0.00000,0.00000
239,0.00000,0.38625,30.18529,0.00000,0.00000
240,0.00000,-0.35257,34.81352,0.00000,0.00000
241,0.00000,-4.84194,14.96056,0.00000,0.00000
242,0.00000,0.63007,29.97805,0.00000,0.00000
243,0.00000,1.27836,34.65927,0.00000,0.00000
244,0.00000,1.56000,30.24000,0.00000,0.00000
245,0.00000,-0.39882,34.88886,0.00000,0.00000
246,0.00000,8.35547,35.49509,0.00000,0.00000
247,0.00000,12.64368,-7.92724,0.00000,0.00000
248,0.00000,,,0.00000,0.00000
249,0.00000,-28.43055,28.38500,0.00000,0.00000
250,0.00000,-0.71667,37.15000,0.00000,0.00000
251,0.00000,33.07874,-5.51007,0.00000,0.00000
252,0.00000,,,0.00000,0.00000
253,0.00000,-15.52682,34.81818,0.00000,0.00000
254,0.00000,,,0.00000,0.00000
255,0.00000,10.72866,-11.17211,0.00000,0.00000
256,0.00000,,,0.00000,0.00000
257,0.00000,10.77136,-5.15701,0.00000,0.00000
258,0.00000,-6.08500,23.76583,0.00000,0.00000
259,0.00000,0.53750,25.18750,0.00000,0.00000
260,0.00000,6.86805,11.18279,0.00000,0.00000
261,0.00000,-17.92435,25.85589,0.00000,0.00000
262,0.00000,1.76606,31.36599,0.00000,0.00000
263,0.00000,-0.74957,37.16666,0.00000,0.00000
264,0.00000,-12.85836,34.09815,0.00000,0.00000
265,0.00000,8.41179,-11.84793,0.00000,0.00000
266,0.00000,,,0.00000,0.00000
