PCR-GLOBWB ID;Catchment [Km2];Latitude;Longitude;Reservoir Size (million m3)
40.00000;3221.89407;-19.15630;33.14450;1540.00000
41.00000;9114.13777;32.10660;-6.46392;1484.00000
42.00000;106540.46201;14.92220;35.90830;1300.00000
43.00000;8080.82680;-25.21000;32.13100;1273.00000
44.00000;13152.17142;-10.74520;27.24470;1267.00000
45.00000;5309.58922;34.16265;-4.75059;1217.00000
46.00000;13168.21588;-3.81670;37.45560;1135.00000
47.00000;206904.12614;13.29707;33.88606;930.00000
48.00000;4178.01062;9.59602;7.50447;880.00000
49.00000;2641.26666;-1.98867;29.63315;846.30000
50.00000;4320.36262;7.83780;37.32598;839.00000
51.00000;2711.45593;34.94179;-5.83903;807.00000
52.00000;33504.58432;10.32176;11.48124;800.00000
53.00000;164344.71287;-15.86670;28.50000;785.00000
54.00000;4502.06273;7.16961;39.43567;750.00000
55.00000;4884.61749;32.69365;-5.88929;740.00000
56.00000;72516.82240;34.66297;-2.93800;725.00000
57.00000;9070.89905;5.60695;-3.16921;710.00000
58.00000;1493.24019;8.81370;38.70801;650.00000
59.00000;1372.61814;9.55921;37.36562;650.00000
60.00000;61182.99458;6.21066;-5.08388;630.00000
61.00000;54053.15169;9.68056;12.01515;615.00000
62.00000;20456.47206;30.91282;-6.75986;592.00000
63.00000;11978.94238;-0.64000;37.91000;585.00000
64.00000;14998.08293;-2.93472;16.12778;584.00000
65.00000;27675.93410;36.59097;9.39750;555.00000
66.00000;119338.41367;-9.74114;15.13017;533.00000
67.00000;8363.92958;-1.77296;13.55116;450.00000
68.00000;1236.90138;9.59417;37.23300;448.00000
69.00000;4059.35752;9.07137;-11.72265;445.00000
70.00000;8027.87795;-26.07799;31.25946;332.00000
71.00000;6628.66034;34.04181;-5.90731;297.00000
72.00000;2331.06506;31.81477;-6.82347;273.00000
73.00000;9373.96932;7.25947;3.25625;270.00000
74.00000;0.00000;-19.25451;47.84575;260.00000
75.00000;280.36736;10.00662;-12.99537;223.00000
76.00000;1156.30817;0.62307;10.40814;220.00000
77.00000;15713.03526;36.31486;8.70257;200.00000
78.00000;271.58409;36.58247;5.57705;200.00000
79.00000;1935.74443;31.64565;-7.26100;197.00000
80.00000;2475.97145;-31.78640;27.67750;181.25000
81.00000;83302.19181;-7.68000;36.97000;165.00000
82.00000;768.06174;36.47107;5.26504;160.00000
83.00000;9529.47186;-0.81220;37.68830;150.00000
84.00000;599.58814;36.67186;8.79045;145.00000
