#PCR-GLOBWB ID;Catchment [Km2];Surface [Km2];Latitude;Longitude;Reservoir Size (million m3)
111;1530.448083;0.174063197;8.84900;9.38890;1.16
112;1493.240193;26.46699459;8.81370;38.70801;650.00
113;1372.618136;179.62;9.55921;37.36562;650.00
114;1236.901383;19.18719468;9.59417;37.23300;448.00
115;1156.308172;13.72;0.62307;10.40814;220.00
116;864.3478701;1.761808466;-26.40000;31.16667;23.60
117;855.3937995;1.161901741;9.92495;-13.10180;14.00
118;799.0518172;0.031334203;1.54545;31.11142;0.15
119;768.061737;2.13;36.47107;5.26504;160.00
120;603.8810374;1.77;36.74728;8.74145;73.00
121;599.5881421;7.086373959;36.67186;8.79045;145.00
122;445.1434299;0.098276627;-12.82755;14.14039;0.70
123;400.0486394;5276.89;-16.53330;28.71670;185,000.00
124;299.672961;3.96;36.76137;9.00252;81.00
125;282.1751704;0.122517168;-8.40000;36.35000;1.00
126;280.5753464;0.14;-28.76110;28.45823;6.00
127;280.3673572;8.982353169;10.00662;-12.99537;223.00
128;271.5840913;2.56;36.58247;5.57705;200.00
129;0.217433994;0.78;8.35972;-13.19938;20.50
130;0;0;-19.25451;47.84575;260.00
131;0;0;-19.01166;47.70310;125.00
132;0;0;-18.92127;47.92942;0.36
133;0;0;11.81975;36.92042;0.00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
