PCR-GLOBWB ID,Catchment [Km2],Latitude,Longitude,Reservoir Size (million m3),Surface area
99.00000,12389.71871,8.39250,39.35277,22.40000,2.44053
100.00000,12389.71871,8.39320,39.35200,22.40000,2.44053
101.00000,0.21743,8.35972,-13.19938,20.50000,0.78000
102.00000,3733375.35300,-5.51613,13.62162,20.00000,4.90214
103.00000,122352.21180,-9.75338,14.48084,20.00000,1.02000
104.00000,9625.64776,-0.79527,37.74936,20.00000,2.55000
105.00000,9824.88987,-0.80622,37.81074,16.00000,2.10000
106.00000,9824.88987,-0.80622,37.81074,16.00000,1.80925
107.00000,855.39380,9.92495,-13.10180,14.00000,1.16190
108.00000,132219.39600,4.07806,10.46500,10.00000,1.78274
109.00000,45523.42180,32.93581,-8.06347,9.50000,1.47743
110.00000,280.57535,-28.76110,28.45823,6.00000,0.14000
111.00000,133951.82290,3.81278,10.12778,5.80000,0.68000
112.00000,33438.34172,36.79976,9.77309,5.00000,0.85030
113.00000,71003.49431,14.27670,35.89690,2.70000,0.57822
114.00000,16848.85264,-12.47080,13.73190,2.20000,0.40295
115.00000,49023.12617,33.14261,-8.10668,2.00000,0.43287
116.00000,39057.22974,-5.28330,38.60000,1.90000,1.05000
117.00000,7514.19573,-2.55105,28.87959,1.50000,0.26591
118.00000,7483.18524,-2.50916,28.87503,1.50000,0.44000
119.00000,39144.30750,-5.35000,38.65000,1.40000,0.31609
120.00000,6220.90318,-19.52600,33.49300,1.20000,0.21698
121.00000,6220.90318,-19.52600,33.49300,1.20000,0.21698
122.00000,1530.44808,8.84900,9.38890,1.16000,0.17406
123.00000,9466.42229,-8.81670,20.49170,1.00000,0.19892
124.00000,282.17517,-8.40000,36.35000,1.00000,0.12252
125.00000,14528.18256,-4.77056,14.89389,0.97500,0.20682
126.00000,14528.18256,-4.77056,14.89389,0.97500,0.20682
127.00000,266305.78780,0.49833,33.13750,0.75000,0.25081
128.00000,445.14343,-12.82755,14.14039,0.70000,0.09828
129.00000,4985.31396,-3.89450,13.76430,0.50000,0.10498
130.00000,0.00000,-18.92127,47.92942,0.36000,0.00000
131.00000,799.05182,1.54545,31.11142,0.15000,0.03133
132.00000,0.00000,11.81975,36.92042,0.00000,
133.00000,0.00000,3.13005,32.51465,,
134.00000,0.00000,32.20667,-6.53083,,
135.00000,0.00000,-10.88430,20.23885,,
136.00000,0.00000,32.62278,-6.18637,,
137.00000,0.00000,-2.40167,26.11389,,
138.00000,0.00000,-18.79410,48.61933,,
139.00000,0.00000,24.03400,32.86560,,
140.00000,0.00000,24.03400,32.86560,,
141.00000,0.00000,5.58125,-3.15916,,
142.00000,0.00000,-1.42417,26.49167,,
143.00000,0.00000,1.78333,9.85000,,
144.00000,0.00000,4.87130,18.04990,,
145.00000,0.00000,4.88100,18.03880,,
146.00000,0.00000,-2.23306,11.46333,,
147.00000,0.00000,,,,
148.00000,0.00000,1.56700,30.18300,,
149.00000,0.00000,0.30010,30.10051,,
150.00000,0.00000,-9.75338,14.48084,,
151.00000,0.00000,8.42606,-13.19608,,
152.00000,0.00000,-10.10944,30.91660,,
153.00000,0.00000,-32.02730,28.59890,,
154.00000,0.00000,36.54167,5.34090,,
155.00000,0.00000,1.57580,10.46870,,
156.00000,0.00000,9.95282,-12.99065,,
157.00000,0.00000,-5.15583,38.45030,,
158.00000,0.00000,-26.58950,31.32400,,
159.00000,0.00000,25.31536,32.55575,,
160.00000,0.00000,4.97290,-6.65190,,
161.00000,0.00000,14.35909,-11.34969,,
162.00000,0.00000,6.29910,-10.31006,,
163.00000,0.00000,4.09628,15.15277,,
164.00000,0.00000,7.92417,37.38778,,
165.00000,0.00000,-0.90910,34.34926,,
166.00000,0.00000,8.13883,-11.34725,,
167.00000,0.00000,,,,
168.00000,0.00000,-5.52697,13.62090,,
169.00000,0.00000,9.36784,8.80940,,
170.00000,0.00000,9.36138,8.76037,,
171.00000,0.00000,10.46235,-13.28067,,
172.00000,0.00000,-0.88138,29.67083,,
173.00000,0.00000,-15.00750,35.24232,,
174.00000,0.00000,-15.00750,35.24232,,
